,     remote           refid      st t when poll reach   delay   offset  jitter
199,*brenbox.westnet .GPS.            1 u   51 1024  377   20.440   -2.708   1.786
200,-time.shf.uk.as4 198.137.202.11   3 u  934 1024  377   30.566   -1.088   1.380
201,-kabel.kashra-se .PPS.            1 u   28 1024  377   57.468   -7.680   1.765
202,-185.216.231.116 52.239.121.49    3 u  956 1024  377  165.504   -8.696  12.937
203,+ntp1.ds.network 92.21.53.217     2 u 1033 1024  377   30.256    0.323   1.840
204,-crimson.en.kku. 202.12.97.45     2 u  728 1024  377  216.785   -0.502   1.446
205,-chilipepper.can 145.238.203.14   2 u 1765 1024  366   26.505   -1.122   1.276
206,+golem.canonical 17.253.108.253   2 u  763 1024  367   29.301    0.691   0.567
207,-alphyn.canonica 17.253.34.253    2 u  688 1024  367   83.663   -1.201   3.891
208,     remote           refid      st t when poll reach   delay   offset  jitter
209, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
210,*brenbox.westnet .GPS.            1 u  194 1024  377   20.440   -2.708   1.860
211,-time.shf.uk.as4 198.137.202.11   3 u   21 1024  377   28.016   -0.029   1.348
212,-kabel.kashra-se .PPS.            1 u  178 1024  377   60.903  -10.339   3.394
213,-185.216.231.116 52.239.121.49    3 u 1084 1024  376  175.482   -6.143  12.497
214,+ntp1.ds.network 92.21.53.217     2 u  132 1024  377   32.465   -1.998   1.549
215,-crimson.en.kku. 202.12.97.45     2 u  846 1024  377  223.534    1.447   2.250
216,-chilipepper.can 134.71.66.21     2 u  866 1024  355   30.121   -1.306   1.244
217,+golem.canonical 17.253.108.253   2 u  928 1024  357   27.807   -0.481   1.286
218,-alphyn.canonica 17.253.34.253    2 u  811 1024  357   83.071   -0.835   3.653
219,     remote           refid      st t when poll reach   delay   offset  jitter
220, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
221,*brenbox.westnet .GPS.            1 u  341 1024  377   20.854   -1.081   1.388
222,-time.shf.uk.as4 198.137.202.11   3 u  180 1024  377   27.388   -0.244   0.852
223,-kabel.kashra-se .PPS.            1 u  323 1024  377   59.806   -6.462   1.749
224,-185.216.231.116 52.239.121.49    3 u  38m 1024  374  175.482   -6.143  12.497
225,+ntp1.ds.network 92.21.53.217     2 u  300 1024  377   32.316   -0.720   1.204
226,+crimson.en.kku. 202.12.97.45     2 u  996 1024  377  220.770   -0.742   3.129
227,+chilipepper.can 17.253.34.251    2 u 1028 1024  333   26.806   -0.722   0.831
228,+golem.canonical 17.253.108.253   2 u   59 1024  277   27.805   -0.528   1.288
229,+alphyn.canonica 17.253.34.253    2 u 2010 1024  336   83.071   -0.835   3.653
230,     remote           refid      st t when poll reach   delay   offset  jitter
231, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
232,*brenbox.westnet .GPS.            1 u  502 1024  377   23.862   -0.651   1.647
233,+time.shf.uk.as4 198.137.202.11   3 u  328 1024  377   27.388   -0.244   1.091
234,-kabel.kashra-se .PPS.            1 u  472 1024  377   59.806   -6.462   2.520
235,-185.216.231.116 52.239.121.49    3 u  58m 1024  370  175.482   -6.143  12.497
236,+ntp1.ds.network 92.21.53.217     2 u  448 1024  377   32.316   -0.720   1.042
237,+crimson.en.kku. 202.12.97.45     2 u   52 1024  377  221.866    0.096   2.643
238,+chilipepper.can 17.253.34.123    2 u  127 1024  157   27.735   -1.180   0.851
239,+golem.canonical 145.238.203.14   2 u  186 1024  177   27.805   -0.528   1.097
240,-alphyn.canonica 145.238.203.14   2 u   85 1024  173   85.884    0.204   3.455
241,     remote           refid      st t when poll reach   delay   offset  jitter
242, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
243,*brenbox.westnet .GPS.            1 u  668 1024  377   23.862   -0.651   1.606
244,+time.shf.uk.as4 198.137.202.11   3 u  486 1024  377   29.989    0.197   1.220
245,-kabel.kashra-se .PPS.            1 u  646 1024  377   63.076   -6.987   2.501
246,-185.216.231.116 52.239.121.49    3 u  78m 1024  360  175.482   -6.143  12.497
247,+ntp1.ds.network 92.21.53.217     2 u  585 1024  377   32.908   -0.976   0.744
248,+crimson.en.kku. 202.28.116.236   2 u  211 1024  377  218.255   -0.248   2.789
249,+chilipepper.can 134.71.66.21     2 u  302 1024  337   25.253   -0.296   0.792
250,+golem.canonical 145.238.203.14   2 u  304 1024  377   29.381    1.355   1.341
251,-alphyn.canonica 17.253.34.123    2 u  228 1024  367   84.058   -0.354   1.046
252,     remote           refid      st t when poll reach   delay   offset  jitter
253, ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000    0.000   0.000
254,*brenbox.westnet .GPS.            1 u  799 1024  377   23.756   -0.616   1.604
255,-time.shf.uk.as4 198.137.202.11   3 u  613 1024  377   28.739    1.497   2.092
256,-kabel.kashra-se .PPS.            1 u  805 1024  377   61.819   -6.567   2.467
257,-185.216.231.116 52.239.121.49    3 u  656 1024  341  170.530   -7.352  12.953
258,+ntp1.ds.network 92.21.53.217     2 u  725 1024  377   30.556    0.454   1.730
259,-crimson.en.kku. 202.12.97.45     2 u  325 1024  377  218.040    2.645   3.056
260,+chilipepper.can 17.253.34.251    2 u  471 1024  277   25.253   -0.296   0.779
261,-golem.canonical 145.238.203.14   2 u  479 1024  377   27.107    0.515   0.700
262,-alphyn.canonica 17.253.34.123    2 u  372 1024  357   83.549   -1.051   0.893
